title,prices,star_rating,Best_seller,author,co_author,formats,list_form,more_buying_choices,Num_of_offers,num_ratings
Gluten Free Cookbook: The Gluten Free Cookbook for Slow Cookers - Easy Gluten Free Recipes for Every Meal by Rockridge Press (2014-09-26),"['$18.34$18.34', '$18.34$18.34', '$4.05 shipping']",4.3,False,,,['Paperback'],"['Gluten Free Cookbook: The Gluten Free Cookbook for Slow Cookers - Easy Gluten Free Recipes for Every Meal by Rockridge Press (2014-09-26)', '4.3 out of 5 stars', '203', 'Paperback', '$18.34$18.34', '$4.05 shipping', 'Only 3 left in stock - order soon.', 'More Buying Choices$12.45', '(11 used & new offers)']",$12.45,11,203
DIY Canning: Over 100 Small-Batch Recipes for All Seasons by Rockridge Press (2015) Paperback,"['$14.37$14.37', '$14.37$14.37', '$3.98 shipping']",4.6,False,,,['Paperback'],"['DIY Canning: Over 100 Small-Batch Recipes for All Seasons by Rockridge Press (2015) Paperback', '4.6 out of 5 stars', '126', 'Paperback', '$14.37$14.37', '$3.98 shipping', 'More Buying Choices$9.44', '(37 used & new offers)']",$9.44,37,126
DIY Fermentation: Over 100 Step-By-Step Home Fermentation Recipes by Rockridge Press (2015) Paperback,"['$18.94$18.94', '$18.94$18.94', '$3.99 shipping']",4.4,False,,,['Paperback'],"['DIY Fermentation: Over 100 Step-By-Step Home Fermentation Recipes by Rockridge Press (2015) Paperback', '4.4 out of 5 stars', '98', 'Paperback', '$18.94$18.94', '$3.99 shipping', 'Only 3 left in stock - order soon.', 'More Buying Choices$14.02', '(23 used & new offers)']",$14.02,23,98
Real BBQ: The Ultimate Step-by-Step Smoker Cookbook by Rockridge Press (2015) Paperback,"['$18.73$18.73', '$18.73$18.73', '$3.98 shipping']",4.4,False,,,['Paperback'],"['Real BBQ: The Ultimate Step-by-Step Smoker Cookbook by Rockridge Press (2015) Paperback', '4.4 out of 5 stars', '223', 'Paperback', '$18.73$18.73', '$3.98 shipping', 'More Buying Choices$11.30', '(39 used & new offers)']",$11.30,39,223
Fruit Infused Water: 98 Delicious Recipes for Your Fruit Infuser Water Pitcher,"['$0.00$0.00', '$0.00$0.00', 'Or $2.99 to buy']",4.5,False,Rockridge Press,,"['Kindle', 'Paperback']","['Fruit Infused Water: 98 Delicious Recipes for Your Fruit Infuser Water Pitcher', 'by', 'Rockridge Press', '4.5 out of 5 stars', '201', 'Kindle', '$0.00$0.00', 'Free with Kindle Unlimited membership', 'Or $2.99 to buy', 'Other format:', 'Paperback']",,,201
Dump Dinners: The Absolute Best Dump Dinners Cookbook with 75 Amazingly Easy Recipes,"['$10.91$10.91', '$10.91$10.91', '$12.99$12.99', '$12.99$12.99']",4.0,False,Rockridge Press,,"['Paperback', 'Kindle']","['Dump Dinners: The Absolute Best Dump Dinners Cookbook with 75 Amazingly Easy Recipes', 'by', 'Rockridge Press', '4.0 out of 5 stars', '148', 'Paperback', '$10.91$10.91', '$12.99$12.99', 'Get it as soon as Thu, Mar 21', 'FREE Shipping on orders over $25 shipped by Amazon', 'More Buying Choices$5.57', '(52 used & new offers)', 'Other format:', 'Kindle']",$5.57,52,148
We're Pregnant! The First Time Dad's Pregnancy Handbook,"['$0.00$0.00', '$0.00$0.00', 'Or $6.99 to buy']",4.7,False,Adrian Kulp,,"['Kindle', 'Paperback']","[""We're Pregnant! The First Time Dad's Pregnancy Handbook"", 'by', 'Adrian Kulp', '4.7 out of 5 stars', '101', 'Kindle', '$0.00$0.00', 'Free with Kindle Unlimited membership', 'Or $6.99 to buy', 'Other formats:', 'Audible Audiobook', ',', 'Paperback', ',', 'Audio CD']",,,101
The Absolute Best Mug Cakes Cookbook: 100 Family-Friendly Microwave Cakes by Rockridge Press (2015) Paperback,"['$12.97$12.97', '$12.97$12.97', '$3.99 shipping']",4.4,False,,,['Paperback'],"['The Absolute Best Mug Cakes Cookbook: 100 Family-Friendly Microwave Cakes by Rockridge Press (2015) Paperback', 'by Rockridge Press', '4.4 out of 5 stars', '100', 'Paperback', '$12.97$12.97', '$3.99 shipping', 'Only 3 left in stock - order soon.', 'More Buying Choices$10.26', '(24 used & new offers)']",$10.26,24,100
[By Rockridge Press] Juicing for Beginners (Paperback)【2018】by Rockridge Press (Author) (Paperback),"['$14.72$14.72', '$14.72$14.72']",,False,,,[],"['[By Rockridge Press] Juicing for Beginners (Paperback)【2018】by Rockridge Press (Author) (Paperback)', '$14.72$14.72', 'FREE Shipping', 'Only 10 left in stock - order soon.', 'More Buying Choices$7.75', '(3 used & new offers)']",$7.75,3,
Easy Paleo Snacks Cookbook: Over 125 Satisfying Recipes for a Healthy Paleo Diet by Rockridge Press (2014-09-11),"['$73.88$73.88', '$73.88$73.88', '$4.05 shipping']",4.2,False,,,"['Paperback', 'Hardcover']","['Easy Paleo Snacks Cookbook: Over 125 Satisfying Recipes for a Healthy Paleo Diet by Rockridge Press (2014-09-11)', '4.2 out of 5 stars', '82', 'Paperback', '$73.88$73.88', '$4.05 shipping', 'Only 3 left in stock - order soon.', 'More Buying Choices$34.48', '(14 used & new offers)', 'Other format:', 'Hardcover']",$34.48,14,82
Plant-Based Pair: A Vegan Cookbook for Two with 125 Perfectly Portioned Recipes by Rockridge Press (2015-03-02),"['$26.26$26.26', '$26.26$26.26', '$3.99 shipping']",4.2,False,,,['Paperback'],"['Plant-Based Pair: A Vegan Cookbook for Two with 125 Perfectly Portioned Recipes by Rockridge Press (2015-03-02)', '4.2 out of 5 stars', '97', 'Paperback', '$26.26$26.26', '$3.99 shipping', 'Only 3 left in stock - order soon.', 'More Buying Choices$13.98', '(11 used & new offers)']",$13.98,11,97
Clean Eating Made Simple: A Healthy Cookbook with Delicious Whole-Food Recipes for Eating Clean by Rockridge Press (2014-06-05),"['$23.41$23.41', '$23.41$23.41', '$3.55 shipping']",4.2,False,,,['Hardcover'],"['Clean Eating Made Simple: A Healthy Cookbook with Delicious Whole-Food Recipes for Eating Clean by Rockridge Press (2014-06-05)', '4.2 out of 5 stars', '150', 'Hardcover', '$23.41$23.41', '$3.55 shipping', 'Only 3 left in stock - order soon.', 'More Buying Choices$16.31', '(22 used & new offers)']",$16.31,22,150
"Social Skills Activities for Kids: 50 Fun Exercises for Making Friends, Talking and Listening, and Understanding Social Rules","['$0.00$0.00', '$0.00$0.00', 'Or $9.99 to buy']",5.0,False,,,"['Kindle', 'Paperback']","['Social Skills Activities for Kids: 50 Fun Exercises for Making Friends, Talking and Listening, and Understanding Social Rules', 'by Natasha Daniels LCSW', '5.0 out of 5 stars', '4', 'Kindle', '$0.00$0.00', 'Free with Kindle Unlimited membership', 'Or $9.99 to buy', 'Other format:', 'Paperback']",,,4
The Paleo Cookbook: 300 Delicious Paleo Diet Recipes by Rockridge Press (2013) Hardcover,"['$25.49$25.49', '$25.49$25.49', '$3.59 shipping']",4.2,False,,,['Hardcover'],"['The Paleo Cookbook: 300 Delicious Paleo Diet Recipes by Rockridge Press (2013) Hardcover', '4.2 out of 5 stars', '464', 'Hardcover', '$25.49$25.49', '$3.59 shipping', 'Only 3 left in stock - order soon.', 'More Buying Choices$11.15', '(16 used & new offers)']",$11.15,16,464
Catching Fire Cookbook: Experience the Hunger Games Trilogy with Unofficial Recipes Inspired by Catching Fire,"['$11.99$11.99', '$11.99$11.99']",4.4,False,Rockridge Press,,"['Paperback', 'Kindle']","['Catching Fire Cookbook: Experience the Hunger Games Trilogy with Unofficial Recipes Inspired by Catching Fire', 'by', 'Rockridge Press', '4.4 out of 5 stars', '64', 'Paperback', '$11.99$11.99', 'Get it as soon as Thu, Mar 21', 'FREE Shipping on orders over $25 shipped by Amazon', 'More Buying Choices$2.97', '(39 used & new offers)', 'Other format:', 'Kindle']",$2.97,39,64
"Paleo Bread: Gluten-Free, Grain-Free, Paleo-Friendly Bread Recipes","['$10.07$10.07', '$10.07$10.07', '$11.99$11.99', '$11.99$11.99']",4.0,False,Rockridge Press,,"['Paperback', 'Kindle']","['Paleo Bread: Gluten-Free, Grain-Free, Paleo-Friendly Bread Recipes', 'by', 'Rockridge Press', '4.0 out of 5 stars', '149', 'Paperback', '$10.07$10.07', '$11.99$11.99', 'Get it as soon as Thu, Mar 21', 'FREE Shipping on orders over $25 shipped by Amazon', 'More Buying Choices$3.32', '(53 used & new offers)', 'Other format:', 'Kindle']",$3.32,53,149
"Quinoa Cookbook: Nutrition Facts, Cooking Tips, and 116 Superfood Recipes for a Healthy Diet","['$10.07$10.07', '$10.07$10.07', '$11.99$11.99', '$11.99$11.99']",4.2,False,,,"['Paperback', 'Kindle']","['Quinoa Cookbook: Nutrition Facts, Cooking Tips, and 116 Superfood Recipes for a Healthy Diet', 'by Rockridge Press', '4.2 out of 5 stars', '157', 'Paperback', '$10.07$10.07', '$11.99$11.99', 'Get it as soon as Thu, Mar 21', 'FREE Shipping on orders over $25 shipped by Amazon', 'More Buying Choices$2.68', '(63 used & new offers)', 'Other format:', 'Kindle']",$2.68,63,157
Fresh Start Bariatric Cookbook: Healthy Recipes to Enjoy Favorite Foods After Weight-Loss Surgery,"['$0.00$0.00', '$0.00$0.00', 'Or $6.99 to buy']",4.5,False,Sarah Kent MS RDN CD,,"['Kindle', 'Paperback']","['Fresh Start Bariatric Cookbook: Healthy Recipes to Enjoy Favorite Foods After Weight-Loss Surgery', 'by', 'Sarah Kent MS RDN CD', '4.5 out of 5 stars', '187', 'Kindle', '$0.00$0.00', 'Free with Kindle Unlimited membership', 'Or $6.99 to buy', 'Other format:', 'Paperback']",,,187
"Wheat Free Diet & Cookbook: Lose Belly Fat, Lose Weight, and Improve Health with Delicious Wheat Free Recipes","['$11.32$11.32', '$11.32$11.32']",4.4,False,Rockridge Press,,"['Paperback', 'Kindle']","['Wheat Free Diet & Cookbook: Lose Belly Fat, Lose Weight, and Improve Health with Delicious Wheat Free Recipes', 'by', 'Rockridge Press', '4.4 out of 5 stars', '82', 'Paperback', '$11.32$11.32', 'Get it as soon as Thu, Mar 21', 'FREE Shipping on orders over $25 shipped by Amazon', 'More Buying Choices$5.00', '(36 used & new offers)', 'Other format:', 'Kindle']",$5.00,36,82
30-Day Candida Cleanse: The Complete Diet Program to Beat Candida and Restore Total Health by Rockridge Press (2014-08-01),"['$13.34$13.34', '$13.34$13.34', '$3.98 shipping']",4.0,False,,,['Paperback'],"['30-Day Candida Cleanse: The Complete Diet Program to Beat Candida and Restore Total Health by Rockridge Press (2014-08-01)', '4.0 out of 5 stars', '90', 'Paperback', '$13.34$13.34', '$3.98 shipping', 'More Buying Choices$10.74', '(29 used & new offers)']",$10.74,29,90
Gifts for Men: The Essential Guide to Finding the Perfect Gift for Any Man,"['$8.68$8.68', '$8.68$8.68']",4.4,False,,,['Paperback'],"['Gifts for Men: The Essential Guide to Finding the Perfect Gift for Any Man', 'by Rockridge Press', '4.4 out of 5 stars', '46', 'Paperback', '$8.68$8.68', 'Only 1 left in stock (more on the way).', 'More Buying Choices$3.24', '(9 used & new offers)']",$3.24,9,46
Ninja Foodi: The Pressure Cooker that Crisps: One-Pot Cookbook: 100 Fast and Flavorful Meals to Maximize Your Foodi,"['$0.00$0.00', '$0.00$0.00', 'Or $6.99 to buy']",4.1,False,Janet A. Zimmerman,,"['Kindle', 'Paperback']","['Ninja Foodi: The Pressure Cooker that Crisps: One-Pot Cookbook: 100 Fast and Flavorful Meals to Maximize Your Foodi', 'by', 'Janet A. Zimmerman', '4.1 out of 5 stars', '59', 'Kindle', '$0.00$0.00', 'Free with Kindle Unlimited membership', 'Or $6.99 to buy', 'Other format:', 'Paperback']",,,59
"[(DIY Kombucha : 60 Nourishing Homemade Tonics for Health and Happiness)] [By (author) Rockridge Press ] published on (November, 2015)",[],,False,,,['Paperback'],"['[(DIY Kombucha : 60 Nourishing Homemade Tonics for Health and Happiness)] [By (author) Rockridge Press ] published on (November, 2015)', 'by Rockridge Press', 'Paperback', 'More Buying Choices$25.93', '(1 new offer)']",$25.93,1,
"[(Quinoa Cookbook : Nutrition Facts, Cooking Tips, and 116 Superfood Recipes for a Healthy Diet)] [By (author) Rockridge Press] published on (May, 2013)",[],,False,,,['Paperback'],"['[(Quinoa Cookbook : Nutrition Facts, Cooking Tips, and 116 Superfood Recipes for a Healthy Diet)] [By (author) Rockridge Press] published on (May, 2013)', 'by Rockridge Press', 'Paperback', 'More Buying Choices$25.93', '(1 new offer)']",$25.93,1,
"Paleo Diet Recipes Collection 4 Books Set (Paleo for Beginners: Essentials to Get Started, The Paleo Cookbook, Paleo Slow Cooker Meals, Slim Glow Nourish Paleo Diet for Brits)","['$37.99$37.99', '$37.99$37.99', '$3.99 shipping']",4.0,False,,,['Paperback'],"['Paleo Diet Recipes Collection 4 Books Set (Paleo for Beginners: Essentials to Get Started, The Paleo Cookbook, Paleo Slow Cooker Meals, Slim Glow Nourish Paleo Diet for Brits)', 'by John Chatham, Rockridge Press, et al.', '4.0 out of 5 stars', '1', 'Paperback', '$37.99$37.99', '$3.99 shipping', 'Only 6 left in stock - order soon.']",,,1
"Beauty Detox Diet: Delicious Recipes and Foods to Look Beautiful, Lose Weight, and Feel Great","['$10.63$10.63', '$10.63$10.63', '$15.99$15.99', '$15.99$15.99', '$3.99 shipping']",3.9,False,Rockridge Press,,"['Paperback', 'Kindle']","['Beauty Detox Diet: Delicious Recipes and Foods to Look Beautiful, Lose Weight, and Feel Great', 'by', 'Rockridge Press', '3.9 out of 5 stars', '32', 'Paperback', '$10.63$10.63', '$15.99$15.99', '$3.99 shipping', 'More Buying Choices$2.90', '(49 used & new offers)', 'Other format:', 'Kindle']",$2.90,49,32
The 5-Ingredient Italian Cookbook: 101 Regional Classics Made Simple,"['$0.00$0.00', '$0.00$0.00', 'Or $9.99 to buy']",4.4,False,Francesca Montillo,,"['Kindle', 'Paperback']","['The 5-Ingredient Italian Cookbook: 101 Regional Classics Made Simple', 'by', 'Francesca Montillo', '4.4 out of 5 stars', '33', 'Kindle', '$0.00$0.00', 'Free with Kindle Unlimited membership', 'Or $9.99 to buy', 'Other format:', 'Paperback']",,,33
Sponsored,"['$0.00$0.00', '$0.00$0.00', 'Or $2.99 to buy']",4.9,False,Katherine Hayes,,[],"['Sponsored', ""These are ads for products you'll find on Amazon.com."", ""Clicking an ad will take you to the product's page."", 'Learn more about Sponsored Products.', 'Diet Ketogenic: A Guide to the Ketogenic Diet.', 'by', 'Katherine Hayes', '4.9 out of 5 stars', '39', 'Kindle Edition', '$0.00$0.00', 'Free with Kindle Unlimited membership', 'Or $2.99 to buy']",,,39
Sponsored,"['$19.95$19.95', '$19.95$19.95']",,False,,,['Paperback'],"['Sponsored', ""These are ads for products you'll find on Amazon.com."", ""Clicking an ad will take you to the product's page."", 'Learn more about Sponsored Products.', 'Autophagy for Women: Extended and Intermittent Water Fasting is the Powerful Secret of Anti-Aging and Rejuvenation using Your Body’s Innate Intelligence', 'by Dana Wells', 'Paperback', '$19.95$19.95', 'Get it as soon as Thu, Mar 21', 'FREE Shipping on orders over $25 shipped by Amazon']",,,
Sponsored,"['$0.00$0.00', '$0.00$0.00', 'Or $4.49 to buy']",4.7,False,Elizabeth Jane,,[],"['Sponsored', ""These are ads for products you'll find on Amazon.com."", ""Clicking an ad will take you to the product's page."", 'Learn more about Sponsored Products.', 'Homemade Keto Soup Cookbook: Fat Burning & Delicious Soups, Stews, Broths & Bread.', 'by', 'Elizabeth Jane', '4.7 out of 5 stars', '14', 'Kindle Edition', '$0.00$0.00', 'Free with Kindle Unlimited membership', 'Or $4.49 to buy']",,,14
Sponsored,"['$0.00$0.00', '$0.00$0.00', 'Or $2.99 to buy']",4.3,False,Robertina Whelans,,[],"['Sponsored', ""These are ads for products you'll find on Amazon.com."", ""Clicking an ad will take you to the product's page."", 'Learn more about Sponsored Products.', 'DASH Diet Smoothies: For Low Salt, Low Cholesterol, Weight Loss, and Diabetes Diets (DASH Diet Cookbook Book 1)', 'by', 'Robertina Whelans', '4.3 out of 5 stars', '25', 'Kindle Edition', '$0.00$0.00', 'Free with Kindle Unlimited membership', 'Or $2.99 to buy']",,,25
The 5-Ingredient Italian Cookbook: 101 Regional Classics Made Simple,"['$0.00$0.00', '$0.00$0.00', 'Or $9.99 to buy']",4.4,False,Francesca Montillo,,"['Kindle', 'Paperback']","['The 5-Ingredient Italian Cookbook: 101 Regional Classics Made Simple', 'by', 'Francesca Montillo', '4.4 out of 5 stars', '33', 'Kindle', '$0.00$0.00', 'Free with Kindle Unlimited membership', 'Or $9.99 to buy', 'Other format:', 'Paperback']",,,33
"Paleo Diet collection Food your body is designed to eat, Slim Glow Nourish Recipe, Lose Weight 3 books set",[],,False,,,['Paperback'],"['Paleo Diet collection Food your body is designed to eat, Slim Glow Nourish Recipe, Lose Weight 3 books set', 'by Daniel Green, Loren Cordain, et al.', 'Paperback', 'More Buying Choices$34.99', '(2 new offers)']",$34.99,2,
The Complete Electric Smoker Cookbook: Over 100 Tasty Recipes and Step-by-Step Techniques to Smoke Just About Everything,"['$0.00$0.00', '$0.00$0.00', 'Or $6.99 to buy']",4.5,False,Bill West,,"['Kindle', 'Paperback']","['The Complete Electric Smoker Cookbook: Over 100 Tasty Recipes and Step-by-Step Techniques to Smoke Just About Everything', 'by', 'Bill West', '4.5 out of 5 stars', '173', 'Kindle', '$0.00$0.00', 'Free with Kindle Unlimited membership', 'Or $6.99 to buy', 'Other format:', 'Paperback']",,,173
"[(The Quick and Easy Mediterranean Diet Cookbook: 76 Mediterranean Diet Recipes Made in Minutes)] [Author: Rockridge Press] published on (January, 2014)",[],,False,Rockridge Press,,['Paperback'],"['[(The Quick and Easy Mediterranean Diet Cookbook: 76 Mediterranean Diet Recipes Made in Minutes)] [Author: Rockridge Press] published on (January, 2014)', 'by', 'Rockridge Press', 'Paperback', 'More Buying Choices$23.93', '(1 new offer)']",$23.93,1,
Treasured Recipes ( a Blank Recipe Book ): Your Favorite Recipe Journal and Organizer,"['$9.23$9.23', '$9.23$9.23', '$11.99$11.99', '$11.99$11.99']",4.7,False,Rockridge Press,,['Paperback'],"['Treasured Recipes ( a Blank Recipe Book ): Your Favorite Recipe Journal and Organizer', 'by', 'Rockridge Press', '4.7 out of 5 stars', '45', 'Paperback', '$9.23$9.23', '$11.99$11.99', 'Get it as soon as Tomorrow, Mar 20', 'FREE Shipping on orders over $25 shipped by Amazon', 'More Buying Choices$4.23', '(42 used & new offers)']",$4.23,42,45
"The DASH Diet Health Plan: Low-Sodium, Low-Fat Recipes to Promote Weight Loss, Lower Blood Pressure, and Help Prevent Diabetes","['$6.99$6.99', '$6.99$6.99']",4.2,False,Rockridge Press,,"['Kindle', 'Paperback']","['The DASH Diet Health Plan: Low-Sodium, Low-Fat Recipes to Promote Weight Loss, Lower Blood Pressure, and Help Prevent Diabetes', 'by', 'Rockridge Press', '4.2 out of 5 stars', '165', 'Kindle', '$6.99$6.99', 'Other format:', 'Paperback']",,,165
The Easy Keto Cookbook: Easy Keto Recipes for a Healthier You!,"['$24.99$24.99', '$24.99$24.99']",5.0,False,SAVOUR PRESS,,"['Paperback', 'Kindle']","['The Easy Keto Cookbook: Easy Keto Recipes for a Healthier You!', 'by', 'SAVOUR PRESS', '5.0 out of 5 stars', '6', 'Paperback', '$24.99$24.99', 'Get it as soon as Thu, Mar 21', 'FREE Shipping on orders over $25 shipped by Amazon', 'Other format:', 'Kindle']",,,6
Diabetic Cookbook and Meal Plan for the Newly Diagnosed: A 4-Week Introductory Guide to Manage Type 2 Diabetes,"['$0.00$0.00', '$0.00$0.00', 'Or $6.99 to buy']",4.3,False,Lori Zanini RD CDE,,"['Kindle', 'Paperback']","['Diabetic Cookbook and Meal Plan for the Newly Diagnosed: A 4-Week Introductory Guide to Manage Type 2 Diabetes', 'by', 'Lori Zanini RD CDE', '4.3 out of 5 stars', '44', 'Kindle', '$0.00$0.00', 'Free with Kindle Unlimited membership', 'Or $6.99 to buy', 'Other format:', 'Paperback']",,,44
"Eat Clean and The Clean Eating Cookbook & Diet 2 Books Bundle Collection (Eat Clean: Wok Yourself to Health, The Clean Eating Cookbook & Diet: Over 100 Healthy Whole Food Recipes & Meal Plans)","['$26.99$26.99', '$26.99$26.99']",,False,,,['Paperback'],"['Eat Clean and The Clean Eating Cookbook & Diet 2 Books Bundle Collection (Eat Clean: Wok Yourself to Health, The Clean Eating Cookbook & Diet: Over 100 Healthy Whole Food Recipes & Meal Plans)', 'by Ching-He Huang and Rockridge Press', 'Paperback', '$26.99$26.99', 'Get it as soon as Tomorrow, Mar 20', 'FREE Shipping by Amazon', 'Only 5 left in stock - order soon.', 'More Buying Choices$23.93', '(4 used & new offers)']",$23.93,4,
"Juicing: The Complete Guide to Juicing for Weight Loss, Health and Life - Includes the Juicing Equipment Guide and 97 Delicious by Rockridge Press (2012) Paperback","['$17.28$17.28', '$17.28$17.28', '$3.59 shipping']",4.4,False,,,"['Paperback', 'Kindle']","['Juicing: The Complete Guide to Juicing for Weight Loss, Health and Life - Includes the Juicing Equipment Guide and 97 Delicious by Rockridge Press (2012) Paperback', '4.4 out of 5 stars', '113', 'Paperback', '$17.28$17.28', '$3.59 shipping', 'Only 3 left in stock - order soon.', 'More Buying Choices$9.19', '(11 used & new offers)', 'Other format:', 'Kindle']",$9.19,11,113
"[(Juicing for Beginners : The Essential Guide to Juicing Recipes and Juicing for Weight Loss)] [By (author) Rockridge Press] published on (August, 2013)","['$39.44$39.44', '$39.44$39.44', '$3.98 shipping']",4.5,False,,,['Paperback'],"['[(Juicing for Beginners : The Essential Guide to Juicing Recipes and Juicing for Weight Loss)] [By (author) Rockridge Press] published on (August, 2013)', '4.5 out of 5 stars', '300', 'Paperback', '$39.44$39.44', '$3.98 shipping', 'More Buying Choices$18.55', '(6 used & new offers)']",$18.55,6,300
Paleo for Beginners: Essentials to Get Started,"['$8.04$8.04', '$8.04$8.04']",4.2,False,John Chatham,,"['Kindle', 'Paperback']","['Paleo for Beginners: Essentials to Get Started', 'by', 'John Chatham', '4.2 out of 5 stars', '1,296', 'Kindle', '$8.04$8.04', 'Other formats:', 'Paperback', ',', 'Audible Audiobook']",,,"1,296"
One-Pot Pasta Cookbook: 65 Super Easy Recipes for One-and-Done Meals,"['$9.86$9.86', '$9.86$9.86', '$12.99$12.99', '$12.99$12.99']",4.6,False,Sarah Walker Caron,,"['Paperback', 'Kindle']","['One-Pot Pasta Cookbook: 65 Super Easy Recipes for One-and-Done Meals', 'by', 'Sarah Walker Caron', '4.6 out of 5 stars', '25', 'Paperback', '$9.86$9.86', '$12.99$12.99', 'Get it as soon as Thu, Mar 21', 'FREE Shipping on orders over $25 shipped by Amazon', 'More Buying Choices$5.36', '(18 used & new offers)', 'Other format:', 'Kindle']",$5.36,18,25
Paleo Diet for Brits: The Essential British Paleo Cookbook and Diet Guide by Rockridge Press (2013-05-01),"['$14.70$14.70', '$14.70$14.70', '$3.98 shipping']",,False,,,['Paperback'],"['Paleo Diet for Brits: The Essential British Paleo Cookbook and Diet Guide by Rockridge Press (2013-05-01)', 'Mass Market Paperback', '$14.70$14.70', '$3.98 shipping', 'Only 2 left in stock - order soon.', 'More Buying Choices$14.65', '(14 used & new offers)', 'Other format:', 'Paperback']",$14.65,14,
"[(Eft and Tapping for Beginners : The Essential Eft Manual to Start Relieving Stress, Losing Weight, and Healing)] [By (author) Rockridge Press] published on (June, 2013)","['$36.74$36.74', '$36.74$36.74', '$3.98 shipping']",,False,,,['Paperback'],"['[(Eft and Tapping for Beginners : The Essential Eft Manual to Start Relieving Stress, Losing Weight, and Healing)] [By (author) Rockridge Press] published on (June, 2013)', 'Paperback', '$36.74$36.74', '$3.98 shipping', 'More Buying Choices$21.45', '(5 used & new offers)']",$21.45,5,
"By Rockridge Press - Juicing: The Complete Guide to Juicing for Weight Loss, Health and Life - Includes the Juicing Equipment Guide and 97 Delicious Recipes (10.7.2013)","['$16.12$16.12', '$16.12$16.12', '$3.98 shipping']",,False,Rockridge Press,,['Paperback'],"['By Rockridge Press - Juicing: The Complete Guide to Juicing for Weight Loss, Health and Life - Includes the Juicing Equipment Guide and 97 Delicious Recipes (10.7.2013)', 'by', 'Rockridge Press', 'Paperback', '$16.12$16.12', '$3.98 shipping', 'More Buying Choices$5.25', '(7 used & new offers)']",$5.25,7,
{ [ THE FAST DIET COOKBOOK: LOW-CALORIE FAST DIET RECIPES AND MEAL PLANS FOR THE 5:2 DIET AND INTERMITTENT FASTING ] } Rockridge Press ( AUTHOR ) Jun-24-2013 Paperback,"['$42.18$42.18', '$42.18$42.18', '$3.98 shipping']",,False,,,['Paperback'],"['{ [ THE FAST DIET COOKBOOK: LOW-CALORIE FAST DIET RECIPES AND MEAL PLANS FOR THE 5:2 DIET AND INTERMITTENT FASTING ] } Rockridge Press ( AUTHOR ) Jun-24-2013 Paperback', 'by Rockridge Press', 'Paperback', '$42.18$42.18', '$3.98 shipping', 'More Buying Choices$31.32', '(2 used & new offers)']",$31.32,2,
By Rockridge Press - The Ultimate Fast Metabolism Diet Cookbook: Quick and Simple Reci (2015-01-07) [Paperback],"['$45.78$45.78', '$45.78$45.78', '$3.98 shipping']",,False,Rockridge Press,,['Paperback'],"['By Rockridge Press - The Ultimate Fast Metabolism Diet Cookbook: Quick and Simple Reci (2015-01-07) [Paperback]', 'by', 'Rockridge Press', 'Paperback', '$45.78$45.78', '$3.98 shipping', 'More Buying Choices$44.48', '(2 used & new offers)']",$44.48,2,
By Rockridge Press - Ayurveda: The Easy Ayurveda Cookbook - An Ayurvedic Cookbook to B (2015-02-14) [Paperback],"['$26.57$26.57', '$26.57$26.57', '$3.98 shipping']",,False,,,['Paperback'],"['By Rockridge Press - Ayurveda: The Easy Ayurveda Cookbook - An Ayurvedic Cookbook to B (2015-02-14) [Paperback]', 'by Rockridge Press', 'Paperback', '$26.57$26.57', '$3.98 shipping', 'Only 2 left in stock - order soon.', 'More Buying Choices$15.81', '(4 used & new offers)']",$15.81,4,
Awesome Science Experiments for Kids: 100+ Fun STEM / STEAM Projects and Why They Work,"['$0.00$0.00', '$0.00$0.00', 'Or $7.99 to buy']",4.7,False,Crystal Chatterton,,"['Kindle', 'Paperback']","['Awesome Science Experiments for Kids: 100+ Fun STEM / STEAM Projects and Why They Work', 'by', 'Crystal Chatterton', '4.7 out of 5 stars', '138', 'Kindle', '$0.00$0.00', 'Free with Kindle Unlimited membership', 'Or $7.99 to buy', 'Other format:', 'Paperback']",,,138
"The Unofficial Recipes of The Hunger Games: 187 Recipes Inspired by The Hunger Games, Catching Fire, and Mockingjay","['$4.61$4.61', '$4.61$4.61']",4.7,False,,,"['Kindle', 'Hardcover', 'Paperback']","['The Unofficial Recipes of The Hunger Games: 187 Recipes Inspired by The Hunger Games, Catching Fire, and Mockingjay', 'by Rockridge University Press', '4.7 out of 5 stars', '49', 'Kindle', '$4.61$4.61', 'Other formats:', 'Hardcover', ',', 'Paperback']",,,49
50 Things to Do Before You Deliver: The First Time Moms Pregnancy Guide,"['$0.00$0.00', '$0.00$0.00', 'Or $9.99 to buy']",4.4,False,Jill Krause,,"['Kindle', 'Paperback']","['50 Things to Do Before You Deliver: The First Time Moms Pregnancy Guide', 'by', 'Jill Krause', 'and Sara A Robert MD', '4.4 out of 5 stars', '53', 'Kindle', '$0.00$0.00', 'Free with Kindle Unlimited membership', 'Or $9.99 to buy', 'Other formats:', 'Audible Audiobook', ',', 'Paperback', ',', 'Audio CD']",,,53
