title,prices,star_rating,Best_seller,author,co_author,formats,list_form,more_buying_choices,Num_of_offers,num_ratings
"The 5-Ingredient Dutch Oven Cookbook: One Pot, 101 Easy Recipes","['$0.99$0.99', '$0.99$0.99']",4.3,in Quick & Easy Cooking,Lisa Grant,,"['Kindle', 'Paperback']","['Best Seller', 'in Quick & Easy Cooking', 'The 5-Ingredient Dutch Oven Cookbook: One Pot, 101 Easy Recipes', 'by', 'Lisa Grant', '4.3 out of 5 stars', '10', 'Kindle', '$0.99$0.99', 'Other format:', 'Paperback']",,,10
Vegan Cookbook for Beginners: The Essential Vegan Cookbook to Get Started,"['$11.99$11.99', '$11.99$11.99']",4.3,False,Rockridge Press,,"['Paperback', 'Kindle']","['Vegan Cookbook for Beginners: The Essential Vegan Cookbook to Get Started', 'by', 'Rockridge Press', '4.3 out of 5 stars', '352', 'Paperback', '$11.99$11.99', 'Get it as soon as Tomorrow, Mar 20', 'FREE Shipping on orders over $25 shipped by Amazon', 'More Buying Choices$2.48', '(77 used & new offers)', 'Other format:', 'Kindle']",$2.48,77,352
The Essential Air Fryer Cookbook for Two: Perfectly Portioned Recipes for Healthier Fried Favorites,"['$0.00$0.00', '$0.00$0.00', 'Or $6.99 to buy']",4.5,in Wok Cookery,Gina Kleinworth,,"['Kindle', 'Paperback']","['Best Seller', 'in Wok Cookery', 'The Essential Air Fryer Cookbook for Two: Perfectly Portioned Recipes for Healthier Fried Favorites', 'by', 'Gina Kleinworth', '4.5 out of 5 stars', '31', 'Kindle', '$0.00$0.00', 'Free with Kindle Unlimited membership', 'Or $6.99 to buy', 'Other format:', 'Paperback']",,,31
The Ultimate Instant Pot® Cookbook for Two: Perfectly Portioned Recipes for 3-Quart and 6-Quart Models,"['$13.59$13.59', '$13.59$13.59', '$16.99$16.99', '$16.99$16.99']",4.1,False,Janet A. Zimmerman,,"['Paperback', 'Kindle']","['The Ultimate Instant Pot® Cookbook for Two: Perfectly Portioned Recipes for 3-Quart and 6-Quart Models', 'by', 'Janet A. Zimmerman', '4.1 out of 5 stars', '29', 'Paperback', '$13.59$13.59', '$16.99$16.99', 'Get it as soon as Thu, Mar 21', 'FREE Shipping on orders over $25 shipped by Amazon', 'More Buying Choices$9.32', '(17 used & new offers)', 'Other format:', 'Kindle']",$9.32,17,29
"The Easy 5-Ingredient Ketogenic Diet Cookbook: Low-Carb, High-Fat Recipes for Busy People on the Keto Diet","['$0.00$0.00', '$0.00$0.00', 'Or $6.99 to buy']",4.3,in Allergies,Jen Fisch,,"['Kindle', 'Paperback', 'Spiral-bound']","['Best Seller', 'in Allergies', 'The Easy 5-Ingredient Ketogenic Diet Cookbook: Low-Carb, High-Fat Recipes for Busy People on the Keto Diet', 'by', 'Jen Fisch', '4.3 out of 5 stars', '566', 'Kindle', '$0.00$0.00', 'Free with Kindle Unlimited membership', 'Or $6.99 to buy', 'Other formats:', 'Paperback', ',', 'Spiral-bound']",,,566
Keto in 30 Minutes: 100 No-Stress Ketogenic Diet Recipes to Keep You On Track,"['$0.00$0.00', '$0.00$0.00', 'Or $9.99 to buy']",4.9,False,,,"['Kindle', 'Paperback']","['Keto in 30 Minutes: 100 No-Stress Ketogenic Diet Recipes to Keep You On Track', 'by Rockridge Press and', 'Jen Fisch', '4.9 out of 5 stars', '16', 'Kindle', '$0.00$0.00', 'Free with Kindle Unlimited membership', 'Or $9.99 to buy', 'Other format:', 'Paperback']",,,16
"Celebrate Your Body (and Its Changes, Too!): The Ultimate Puberty Book for Girls","['$11.04$11.04', '$11.04$11.04', '$12.99$12.99', '$12.99$12.99']",4.8,in Physiology,Sonya Renee Taylor,Bianca I. Laureano,"['Paperback', 'Kindle']","['Best Seller', 'in Physiology', 'Celebrate Your Body (and Its Changes, Too!): The Ultimate Puberty Book for Girls', 'by', 'Sonya Renee Taylor', 'and', 'Bianca I. Laureano', '4.8 out of 5 stars', '85', 'Paperback', '$11.04$11.04', '$12.99$12.99', 'Get it as soon as Thu, Mar 21', 'FREE Shipping on orders over $25 shipped by Amazon', 'More Buying Choices$5.80', '(36 used & new offers)', 'Other format:', 'Kindle']",$5.80,36,85
Essential Alkaline Diet Cookbook: 150 Alkaline Recipes to Bring Your Body Back to Balance,"['$14.95$14.95', '$14.95$14.95', '$17.99$17.99', '$17.99$17.99']",4.0,False,Rockridge Press,,"['Paperback', 'Kindle']","['Essential Alkaline Diet Cookbook: 150 Alkaline Recipes to Bring Your Body Back to Balance', 'by', 'Rockridge Press', '4.0 out of 5 stars', '142', 'Paperback', '$14.95$14.95', '$17.99$17.99', 'Get it as soon as Tomorrow, Mar 20', 'FREE Shipping on orders over $25 shipped by Amazon', 'More Buying Choices$9.46', '(60 used & new offers)', 'Other format:', 'Kindle']",$9.46,60,142
The New Southern Cookbook: Classic Family Recipes And Modern Twists on Old Favorites,"['$0.00$0.00', '$0.00$0.00', 'Or $6.99 to buy']",4.8,False,Pam Wattenbarger,Brittany Wattenbarger,"['Kindle', 'Paperback']","['The New Southern Cookbook: Classic Family Recipes And Modern Twists on Old Favorites', 'by', 'Pam Wattenbarger', 'and', 'Brittany Wattenbarger', '4.8 out of 5 stars', '31', 'Kindle', '$0.00$0.00', 'Free with Kindle Unlimited membership', 'Or $6.99 to buy', 'Other format:', 'Paperback']",,,31
"Healthy Eating One-Pot Cookbook: 101 Effortless Meals for Your Instant Pot, Sheet Pan, Skillet and Dutch Oven","['$13.00$13.00', '$13.00$13.00', '$17.99$17.99', '$17.99$17.99']",4.7,False,Lauren Keating,,"['Paperback', 'Kindle']","['Healthy Eating One-Pot Cookbook: 101 Effortless Meals for Your Instant Pot, Sheet Pan, Skillet and Dutch Oven', 'by', 'Lauren Keating', '4.7 out of 5 stars', '8', 'Paperback', '$13.00$13.00', '$17.99$17.99', 'Get it as soon as Tue, Mar 26', 'FREE Shipping on orders over $25 shipped by Amazon', 'Pre-order. Available March 26, 2019', 'Other format:', 'Kindle']",,,8
