,Calories,Carbs,Category,Cholesterol,Fat,Fiber,Protein,Restaurant,Saturated Fat,Sodium,Sugars,Trans Fat,calories,carbs,category,deets_url,fat_content,name
4401,1230,127 g,Seafood,90 mg,72 g,25 g,24 g,Joe's Crab Shack,20 g,1550 mg,24 g,0 g,160,8,"
Sandwiches
",http://chubbygrub.com/food/side-caesar-salad-includes-dressing/,13,Side Caesar Salad (Includes Dressing)
4402,1230,127 g,Seafood,90 mg,72 g,25 g,24 g,Joe's Crab Shack,20 g,1550 mg,24 g,0 g,110,9,"
Sandwiches
",http://chubbygrub.com/food/side-fresh-greens-salad-includes-dressing/,8,Side Fresh Greens Salad (Includes Dressing)
4403,1230,127 g,Seafood,90 mg,72 g,25 g,24 g,Joe's Crab Shack,20 g,1550 mg,24 g,0 g,700,59,"
Sandwiches
",http://chubbygrub.com/food/side-of-parmesan-fries/,48,Side Of Parmesan Fries
4404,1230,127 g,Seafood,90 mg,72 g,25 g,24 g,Joe's Crab Shack,20 g,1550 mg,24 g,0 g,1180,77,"
Pizzas
",http://chubbygrub.com/food/smoky-shrimp-flatbread/,66,Smoky Shrimp Flatbread
4405,1230,127 g,Seafood,90 mg,72 g,25 g,24 g,Joe's Crab Shack,20 g,1550 mg,24 g,0 g,10,2,"
Entrees
",http://chubbygrub.com/food/snap-peas/,0,Snap Peas
4406,1230,127 g,Seafood,90 mg,72 g,25 g,24 g,Joe's Crab Shack,20 g,1550 mg,24 g,0 g,160,39,"
Desserts
",http://chubbygrub.com/food/sorbet-white-peach/,0,Sorbet: White Peach
4407,1230,127 g,Seafood,90 mg,72 g,25 g,24 g,Joe's Crab Shack,20 g,1550 mg,24 g,0 g,390,35,"
Drinks
",http://chubbygrub.com/food/sorrento-lemonade/,0,Sorrento Lemonade
4408,1230,127 g,Seafood,90 mg,72 g,25 g,24 g,Joe's Crab Shack,20 g,1550 mg,24 g,0 g,340,61,"
Entrees
",http://chubbygrub.com/food/spaghetti/,6,Spaghetti
4409,1230,127 g,Seafood,90 mg,72 g,25 g,24 g,Joe's Crab Shack,20 g,1550 mg,24 g,0 g,420,48,"
Kid's Meals
",http://chubbygrub.com/food/spaghetti-and-meat-sauce/,16,Spaghetti & Meat Sauce
4410,1230,127 g,Seafood,90 mg,72 g,25 g,24 g,Joe's Crab Shack,20 g,1550 mg,24 g,0 g,460,51,"
Kid's Meals
",http://chubbygrub.com/food/spaghetti-and-meatballs/,23,Spaghetti & Meatballs
